dept_id,dept_name,budget_month,budget_amount,currency
1,Engineering,2024-01,115278.99,USD
1,Engineering,2024-02,126806.89,USD
1,Engineering,2024-03,135245.9,USD
1,Engineering,2024-04,138334.79,USD
1,Engineering,2024-05,135245.9,USD
1,Engineering,2024-06,126806.89,USD
1,Engineering,2024-07,115278.99,USD
1,Engineering,2024-08,103751.09,USD
1,Engineering,2024-09,95312.09,USD
1,Engineering,2024-10,92223.19,USD
1,Engineering,2024-11,95312.09,USD
1,Engineering,2024-12,103751.09,USD
2,Marketing,2024-01,179134.29,USD
2,Marketing,2024-02,197047.72,USD
2,Marketing,2024-03,210161.26,USD
2,Marketing,2024-04,214961.15,USD
2,Marketing,2024-05,210161.26,USD
2,Marketing,2024-06,197047.72,USD
2,Marketing,2024-07,179134.29,USD
2,Marketing,2024-08,161220.86,USD
2,Marketing,2024-09,148107.32,USD
2,Marketing,2024-10,143307.43,USD
2,Marketing,2024-11,148107.32,USD
2,Marketing,2024-12,161220.86,USD
3,Sales,2024-01,177438.43,USD
3,Sales,2024-02,195182.27,USD
3,Sales,2024-03,208171.67,USD
3,Sales,2024-04,212926.12,USD
3,Sales,2024-05,208171.67,USD
3,Sales,2024-06,195182.27,USD
3,Sales,2024-07,177438.43,USD
3,Sales,2024-08,159694.59,USD
3,Sales,2024-09,146705.19,USD
3,Sales,2024-10,141950.75,USD
3,Sales,2024-11,146705.19,USD
3,Sales,2024-12,159694.59,USD
4,Finance,2024-01,116924.78,USD
4,Finance,2024-02,128617.26,USD
4,Finance,2024-03,137176.75,USD
4,Finance,2024-04,140309.74,USD
4,Finance,2024-05,137176.75,USD
4,Finance,2024-06,128617.26,USD
4,Finance,2024-07,116924.78,USD
4,Finance,2024-08,105232.3,USD
4,Finance,2024-09,96672.81,USD
4,Finance,2024-10,93539.82,USD
4,Finance,2024-11,96672.81,USD
4,Finance,2024-12,105232.3,USD
5,HR,2024-01,84827.11,USD
5,HR,2024-02,93309.82,USD
5,HR,2024-03,99519.6,USD
5,HR,2024-04,101792.53,USD
5,HR,2024-05,99519.6,USD
5,HR,2024-06,93309.82,USD
5,HR,2024-07,84827.11,USD
5,HR,2024-08,76344.4,USD
5,HR,2024-09,70134.62,USD
5,HR,2024-10,67861.69,USD
5,HR,2024-11,70134.62,USD
5,HR,2024-12,76344.4,USD
6,Operations,2024-01,177092.33,USD
6,Operations,2024-02,194801.56,USD
6,Operations,2024-03,207765.62,USD
6,Operations,2024-04,212510.8,USD
6,Operations,2024-05,207765.62,USD
6,Operations,2024-06,194801.56,USD
6,Operations,2024-07,177092.33,USD
6,Operations,2024-08,159383.1,USD
6,Operations,2024-09,146419.04,USD
6,Operations,2024-10,141673.87,USD
6,Operations,2024-11,146419.04,USD
6,Operations,2024-12,159383.1,USD
7,Legal,2024-01,111280.19,USD
7,Legal,2024-02,122408.21,USD
7,Legal,2024-03,130554.49,USD
7,Legal,2024-04,133536.23,USD
7,Legal,2024-05,130554.49,USD
7,Legal,2024-06,122408.21,USD
7,Legal,2024-07,111280.19,USD
7,Legal,2024-08,100152.17,USD
7,Legal,2024-09,92005.9,USD
7,Legal,2024-10,89024.15,USD
7,Legal,2024-11,92005.9,USD
7,Legal,2024-12,100152.17,USD
